Müsteri ID;Ya?;Cinsiyet;Medeni Durum;Istihdam Durumu;Meslek;Gelir;Mevcut Borclar;Kredi Skoru;Odeme Gecmisi;Kredi Turleri;Basvuru Miktari;Onay Durumu;Aylik Harcamalar;Is Yerinde Kalma Süresi;Yasad??? Bolge;Ev Sahipligi;Sigorta Durumu;Aile Uyeleri ve Bagimlilar;Finansal Danismanlik Hizmeti Kullanimi;Kredi Talep Tipi
MUST-835993;46;erkek;evli;Tam Zamanli;Dijital Pazarlama Uzmani;80.000 TL;?10.000 - ?150.000;751-850 (Mukemmel);Hic Gecikme;ihtiyac Kredisi;Dusuk;onaylandi;?1.000 - ?5.000;1-3 Y?l;Adana;kira;Sigortasiz;5;Kullaniyor;?lk Basvuru
MUST-195382;40;kadin;bekar;Tam Zamanli;Veri Analisti;90.000 TL;?100.000 - ?1.000.000+;300-500 (dusuk);91-120 Gun Gecikme;Ticari Kredi;Yuksek;reddedildi;?10.000 - ?25.000+;0-1 Y?l;Istanbul;kira;Sigortali;0;Kullaniyor;Yeniden Yapilandirma
MUST-146076;37;kadin;bekar;Yar? Zamanli;Finansal Analist;90.000 TL;?10.000 - ?50.000;300-500 (dusuk);91-120 Gun Gecikme;Kredi Karti;Orta;reddedildi;?500 - ?3.000;3-5 Y?l;Eskisehir;kira;Sigortali;0;Kullaniyor Degil;Yeniden Yapilandirma
MUST-568746;42;kadin;bekar;Yar? Zamanli;Egitmen/Koc (Kisisel Gelisim Kocu);60.000 TL;?10.000 - ?50.000;501-650 (orta);61-90 Gun Gecikme;Kredi Karti;Orta;inceleniyor;?500 - ?3.000;0-1 Y?l;Istanbul;ev sahibi;Sigortasiz;0;Kullaniyor Degil;?lk Basvuru
MUST-503229;45;erkek;evli;Yar? Zamanli;Finansal Analist;90.000 TL;?10.000 - ?150.000;751-850 (Mukemmel);Hic Gecikme;ihtiyac Kredisi;Dusuk;onaylandi;?1.000 - ?5.000;5-10 Y?l;Gaziantep;kira;Sigortasiz;3;Kullaniyor;Ek Kredi Talebi
MUST-254016;45;erkek;bekar;Tam Zamanli;?s Zekasi (Business Intelligence) Analisti;90.000 TL;?10.000 - ?50.000;300-500 (dusuk);91-120 Gun Gecikme;Kredi Karti;Orta;reddedildi;?500 - ?3.000;5-10 Y?l;Izmir;ev sahibi;Sigortali;0;Kullaniyor Degil;Ek Kredi Talebi
MUST-533075;49;kadin;evli;Yar? Zamanli;urun Yoneticisi;80.000 TL;?20.000 - ?100.000;501-650 (orta);61-90 Gun Gecikme;Egitim Kredisi;Orta;inceleniyor;?2.000 - ?7.000;3-5 Y?l;Istanbul;ev sahibi;Sigortali;2;Kullaniyor Degil;Yeniden Yapilandirma
MUST-159104;37;erkek;bekar;Yar? Zamanli;?s Zekasi (Business Intelligence) Analisti;60.000 TL;?10.000 - ?50.000;501-650 (orta);61-90 Gun Gecikme;Kredi Karti;Orta;inceleniyor;?500 - ?3.000;10 Y?l ve Üzeri;Samsun;ev sahibi;Sigortasiz;0;Kullaniyor;Ek Kredi Talebi
MUST-697654;46;kadin;evli;Yar? Zamanli;Urun yoneticisi;90.000 TL;?300.000 - ?1.000.000+;300-500 (dusuk);120 Gun ve uzeri Gecikme;Konut Kredisi;Yuksek;reddedildi;?15.000 - ?30.000+;0-1 Y?l;Adana;ev sahibi;Sigortali;2;Kullaniyor Degil;Yeniden Yapilandirma
MUST-893581;44;kadin;evli;Tam Zamanli;Arastirma Gorevlisi;50.000 TL;?20.000 - ?100.000;501-650 (orta);61-90 Gun Gecikme;Egitim Kredisi;Orta;inceleniyor;?2.000 - ?7.000;0-1 Y?l;Gaziantep;ev sahibi;Sigortali;1;Kullaniyor;Yeniden Yapilandirma
